"","x"
"1108","K06147"
"1109","K11754"
"1110","K08218"
"1111","K06178"
"1112","K09800"
"1113","K07278"
"1114","K06223"
"1115","K02435"
"1116","K07447"
"1117","K09922"
"1118","K03585"
"1119","K18138"
"1120","K18139"
"1121","K03821"
"1122","K03208"
"1123","K02377"
"1124","K01711"
"1125","K20997"
"1126","K09765"
"1127","K03417"
"1128","K01659"
"1129","K09788"
"1130","K20455"
"1131","K01644"
"1132","K03305"
"1133","K07979"
"1134","K20035"
"1135","K07566"
"1136","K07304"
"1137","K01784"
"1138","K01524"
"1139","K02427"
"1140","K03060"
"1141","K06131"
"1142","K05786"
"1143","K13525"
"1144","K03566"
"1145","K01802"
"1146","K06213"
"1147","K07736"
"1148","K01950"
"1149","K00111"
"1150","K12573"
"1151","K01963"
"1152","K01695"
"1153","K01696"
"1154","K01817"
"1155","K09987"
"1156","K01061"
"1157","K00799"
"1158","K03046"
"1159","K03043"
"1160","K11178"
"1161","K13483"
"1162","K10804"
"1163","K02003"
"1164","K02004"
"1165","K05592"
"1166","K06207"
"1167","K01972"
"1168","K03631"
"1169",NA
"1170",NA
"1171",NA
