accession	family	genus	species	fasta_obtained	json_obtained	eggnog_obtained	fasta_file_name
GCA_002336855.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp002336855	FALSE	FALSE	FALSE	NA
GCA_012511645.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp012511645	FALSE	FALSE	FALSE	NA
GCA_012510755.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp012510755	FALSE	FALSE	FALSE	NA
GCF_000980875.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp000980875	FALSE	FALSE	FALSE	NA
GCF_002752355.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp002752355	FALSE	FALSE	FALSE	NA
GCF_016522505.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp016522505	FALSE	FALSE	FALSE	NA
GCF_017583045.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter tardus	FALSE	FALSE	FALSE	NA
GCF_000421845.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter chironomi	FALSE	FALSE	FALSE	NA
GCF_004028235.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter muris	FALSE	FALSE	FALSE	NA
GCF_002982315.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter massiliensis	FALSE	FALSE	FALSE	NA
GCF_003569785.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp003569785	FALSE	FALSE	FALSE	NA
GCF_001273835.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter celer	FALSE	FALSE	FALSE	NA
GCF_004208635.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter triazinivorans	FALSE	FALSE	FALSE	NA
GCF_017565705.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter ruminantium	FALSE	FALSE	FALSE	NA
GCF_016758175.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter zeae	FALSE	FALSE	FALSE	NA
GCF_001273845.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter musarum	FALSE	FALSE	FALSE	NA
GCF_016597785.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp001373475	FALSE	FALSE	FALSE	NA
GCF_001477055.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter chromiiresistens_A	FALSE	FALSE	FALSE	NA
GCF_900102345.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter chromiiresistens	FALSE	FALSE	FALSE	NA
GCF_016522535.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp016522535	FALSE	FALSE	FALSE	NA
GCF_000633415.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp000633415	FALSE	FALSE	FALSE	NA
GCF_003917135.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter chromiireducens_A	FALSE	FALSE	FALSE	NA
GCF_016758255.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter chromiireducens	FALSE	FALSE	FALSE	NA
GCF_016758195.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter solipictus	FALSE	FALSE	FALSE	NA
GCF_900163635.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp900163635	FALSE	FALSE	FALSE	NA
GCF_004217175.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter luti	FALSE	FALSE	FALSE	NA
GCF_004339635.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter luti_A	FALSE	FALSE	FALSE	NA
GCF_011382965.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter insecticola	FALSE	FALSE	FALSE	NA
GCF_011299575.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter viscericola	FALSE	FALSE	FALSE	NA
GCF_011382985.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter coleopterorum	FALSE	FALSE	FALSE	NA
GCF_000350525.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter salsicius	FALSE	FALSE	FALSE	NA
GCF_017834145.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter exalbidus	FALSE	FALSE	FALSE	NA
GCF_014396385.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter denitrificans	FALSE	FALSE	FALSE	NA
GCF_006716085.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter komagatae	FALSE	FALSE	FALSE	NA
GCF_013409595.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter aridicollis	FALSE	FALSE	FALSE	NA
GCF_000834055.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter komagatae_A	FALSE	FALSE	FALSE	NA
GCA_017990305.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp017990305	FALSE	FALSE	FALSE	NA
GCF_001482305.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp001482305	FALSE	FALSE	FALSE	NA
GCF_014529985.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp014529985	FALSE	FALSE	FALSE	NA
GCF_014530035.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp014530035	FALSE	FALSE	FALSE	NA
GCA_003248605.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003248605	FALSE	FALSE	FALSE	NA
GCA_003476465.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003476465	FALSE	FALSE	FALSE	NA
GCF_002812725.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002812725	FALSE	FALSE	FALSE	NA
GCF_002812805.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lacus	FALSE	FALSE	FALSE	NA
GCF_006715145.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp006715145	FALSE	FALSE	FALSE	NA
GCF_013409465.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium pumilum	FALSE	FALSE	FALSE	NA
GCF_001427525.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001427525	FALSE	FALSE	FALSE	NA
GCF_003991875.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lemovicicum	FALSE	FALSE	FALSE	NA
GCF_008710745.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium rhizomatis	FALSE	FALSE	FALSE	NA
GCA_018895315.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp018895315	FALSE	FALSE	FALSE	NA
GCF_900100885.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium pygmaeum	FALSE	FALSE	FALSE	NA
GCF_013408285.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp013408285	FALSE	FALSE	FALSE	NA
GCA_011620715.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp011620715	FALSE	FALSE	FALSE	NA
GCF_900114345.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900114345	FALSE	FALSE	FALSE	NA
GCF_000304335.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium yannicii_A	FALSE	FALSE	FALSE	NA
GCF_012524205.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp012524205	FALSE	FALSE	FALSE	NA
GCF_004010105.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004010105	FALSE	FALSE	FALSE	NA
GCF_015277855.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015277855	FALSE	FALSE	FALSE	NA
GCF_015277815.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015277815	FALSE	FALSE	FALSE	NA
GCF_000380605.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000380605	FALSE	FALSE	FALSE	NA
GCF_014779795.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium helvum	FALSE	FALSE	FALSE	NA
GCF_006783905.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium kyungheense	FALSE	FALSE	FALSE	NA
GCF_014873155.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014873155	FALSE	FALSE	FALSE	NA
