accession	ko_id	map_id
3Dt2j	K20034	map00920
3Dt2j	K01969	map00280
3Dt2j	K12340	map01503
3Dt2j	K12340	map03070
3Dt2j	K12340	map05133
3Dt2j	K12340	map04626
3Dt2j	K12340	map01501
3Dt2j	K12340	map02020
3Dt2j	K03072	map03060
3Dt2j	K03072	map03070
3Dt2j	K01426	map00643
3Dt2j	K01426	map00360
3Dt2j	K01426	map00380
3Dt2j	K01426	map00627
3Dt2j	K01426	map00330
3Dt2j	K14266	map00404
3Dt2j	K10747	map03410
3Dt2j	K10747	map03430
3Dt2j	K10747	map03420
3Dt2j	K10747	map03030
3Dt2j	K00058	map00260
3Dt2j	K00058	map00270
3Dt2j	K00058	map00680
3Dt2j	K00058	map01230
3Dt2j	K00058	map01200
3Dt2j	K04566	map00970
3Dt2j	K00283	map00630
3Dt2j	K00283	map00260
3Dt2j	K00283	map01200
3Dt2j	K02407	map02040
3Dt2j	K01187	map00052
3Dt2j	K01187	map00500
3Dt2j	K01951	map00983
3Dt2j	K01951	map01232
3Dt2j	K01951	map00230
3Dt2j	K00342	map00190
3Dt2j	K00602	map01523
3Dt2j	K00602	map00670
3Dt2j	K00602	map00230
3Dt2j	K04771	map01503
3Dt2j	K04771	map02020
3Dt2j	K01874	map00450
3Dt2j	K01874	map00970
3Dt2j	K01966	map00280
3Dt2j	K01966	map00640
3Dt2j	K01966	map00630
3Dt2j	K01966	map01200
3Dt2j	K01745	map00340
3Dt2j	K02454	map03070
3Dt2j	K02454	map05111
3Dt2j	K01881	map00970
3Dt2j	K02111	map00195
3Dt2j	K02111	map00190
3Dt2j	K00138	map00010
3Dt2j	K00138	map00620
3Dt2j	K02314	map04112
3Dt2j	K02314	map03030
3Dt2j	K00140	map00410
3Dt2j	K00140	map00280
3Dt2j	K00140	map00562
3Dt2j	K00140	map00640
3Dt2j	K00140	map01200
3Dt2j	K01657	map00405
3Dt2j	K01657	map00400
3Dt2j	K01657	map02025
3Dt2j	K01657	map01230
3Dt2j	K01657	map02024
3Dt2j	K01524	map00230
3Dt2j	K01810	map00030
3Dt2j	K01810	map00010
3Dt2j	K01810	map00500
3Dt2j	K01810	map00520
3Dt2j	K01810	map01250
3Dt2j	K01810	map01200
3Dt2j	K11900	map02025
3Dt2j	K10027	map00906
3Dt2j	K14266	map00404
3Dt2j	K02433	map00970
3Dt2j	K02434	map00970
3Dt2j	K02035	map02024
3Dt2j	K15580	map01501
3Dt2j	K15580	map02024
3Dt2j	K02112	map00195
3Dt2j	K02112	map00190
3Dt2j	K03092	map02040
3Dt2j	K03092	map05111
3Dt2j	K03092	map02020
3Dt2j	K00764	map00250
3Dt2j	K00764	map00230
3Dt2j	K18139	map01501
3Dt2j	K18139	map02024
3Dt2j	K03106	map03060
3Dt2j	K03106	map03070
3Dt2j	K03106	map02024
3Dt2j	K00873	map04930
3Dt2j	K00873	map05230
3Dt2j	K00873	map04922
3Dt2j	K00873	map00010
3Dt2j	K00873	map00620
3Dt2j	K00873	map05203
3Dt2j	K00873	map05165
3Dt2j	K00873	map01230
3Dt2j	K00873	map01200
3Dt2j	K00036	map05230
3Dt2j	K00036	map00480
3Dt2j	K00036	map00030
3Dt2j	K00036	map05415
3Dt2j	K00036	map01200
3Dt2j	K00088	map00983
3Dt2j	K00088	map01232
3Dt2j	K00088	map00230
3Dt2j	K00864	map03320
3Dt2j	K00864	map04626
3Dt2j	K00864	map00561
3Dt2j	K00343	map00190
3Dt2j	K01241	map01232
3Dt2j	K01241	map00230
3Dt2j	K00266	map00910
3Dt2j	K00266	map00250
3Dt2j	K00266	map01230
3Dt2j	K00928	map00261
3Dt2j	K00928	map00300
3Dt2j	K00928	map01210
3Dt2j	K00928	map00260
3Dt2j	K00928	map00270
3Dt2j	K00928	map01230
3Dt2j	K00111	map00564
3Dt2j	K05367	map00550
3Dt2j	K01883	map00970
3Dt2j	K00162	map05230
3Dt2j	K00162	map04922
3Dt2j	K00162	map00020
3Dt2j	K00162	map04066
3Dt2j	K00162	map00010
3Dt2j	K00162	map00620
3Dt2j	K00162	map05415
3Dt2j	K00162	map01200
3Dt2j	K01703	map00290
3Dt2j	K01703	map00966
3Dt2j	K01703	map00660
3Dt2j	K01703	map01210
3Dt2j	K01703	map01230
3Dt2j	K01565	map00531
3Dt2j	K01565	map04142
3Dt2j	K01581	map00480
3Dt2j	K01581	map00330
3Dt2j	K00128	map00981
3Dt2j	K00128	map00625
3Dt2j	K00128	map00770
3Dt2j	K00128	map00410
3Dt2j	K00128	map00340
3Dt2j	K00128	map00071
3Dt2j	K00128	map00053
3Dt2j	K00128	map00280
3Dt2j	K00128	map00380
3Dt2j	K00128	map00561
3Dt2j	K00128	map00310
